band,GALEX_FUV
0.1439,0.3024959946
0.144,0.306060009
0.1441,0.3099365044
0.1442,0.3131879997
0.1443,0.3167519951
0.1444,0.3203160095
0.1445,0.3238800049
0.1446,0.3274440002
0.1447,0.3310079956
0.1448,0.334571991
0.1449,0.3381359863
0.145,0.3416999817
0.1451,0.3429439926
0.1452,0.3441880035
0.1453,0.3454320145
0.1454,0.3466759872
0.1455,0.3479199982
0.1456,0.3491640091
0.1457,0.3504079819
0.1458,0.3516519928
0.1459,0.3528960037
0.146,0.3541400146
0.1461,0.3553839874
0.1462,0.3566279984
0.1463,0.3578720093
0.1464,0.3591159821
0.1465,0.360359993
0.1466,0.3616040039
0.1467,0.3628480148
0.1468,0.3640919876
0.1469,0.3653359985
0.147,0.3665800095
0.1471,0.3667279816
0.1472,0.3668759918
0.1473,0.3670240021
0.1474,0.3671720123
0.1475,0.3673199844
0.1476,0.3674679947
0.1477,0.3676160049
0.1478,0.3677640152
0.1479,0.3679119873
0.148,0.3680599976
0.1481,0.3671120071
0.1482,0.3661640167
0.1483,0.3652159882
0.1484,0.3642679977
0.1485,0.3633200073
0.1486,0.3623720169
0.1487,0.3614239883
0.1488,0.3604759979
0.1489,0.3595280075
0.149,0.3585800171
0.1491,0.3576319885
0.1492,0.3566839981
0.1493,0.3557360077
0.1494,0.3547880173
0.1495,0.3538399887
0.1496,0.3528919983
0.1497,0.3519440079
0.1498,0.3509960175
0.1499,0.3500479889
0.15,0.3490999985
0.1501,0.348987999
0.1502,0.3488759995
0.1503,0.3487639999
0.1504,0.3486520004
0.1505,0.3485400009
0.1506,0.3484280014
0.1507,0.3483160019
0.1508,0.3482040024
0.1509,0.3480920029
0.151,0.3479800034
0.1511,0.3478680038
0.1512,0.3477560043
0.1513,0.3476440048
0.1514,0.3475320053
0.1515,0.3474200058
0.1516,0.3473080063
0.1517,0.3471960068
0.1518,0.3470840073
0.1519,0.3469720078
0.152,0.3468600082
0.1521,0.3451160049
0.1522,0.3433720016
0.1523,0.3416279984
0.1524,0.3398839951
0.1525,0.3381399918
0.1526,0.3363959885
0.1527,0.3346519852
0.1528,0.3329079819
0.1529,0.3311640167
0.153,0.3294200134
0.1531,0.3260440063
0.1532,0.3226679993
0.1533,0.3192919922
0.1534,0.3159160042
0.1535,0.3125399971
0.1536,0.3091640091
0.1537,0.305788002
0.1538,0.3024119949
0.1539,0.2990360069
0.154,0.2956599998
0.1541,0.2922839928
0.1542,0.2889080048
0.1543,0.2855319977
0.1544,0.2821559906
0.1545,0.2787800026
0.1546,0.2754039955
0.1547,0.2720280075
0.1548,0.2686520004
0.1549,0.2652759933
0.155,0.2619000053
0.1551,0.2617970085
0.1552,0.2616930008
0.1553,0.261590004
0.1554,0.2614870071
0.1555,0.2613829994
0.1556,0.2612800026
0.1557,0.2611770058
0.1558,0.2610740089
0.1559,0.2609700012
0.156,0.2608670044
0.1561,0.2607640076
0.1562,0.2606599998
0.1563,0.260557003
0.1564,0.2604529953
0.1565,0.2603499985
0.1566,0.2602470016
0.1567,0.2601429939
0.1568,0.2600399971
0.1569,0.2599360085
0.157,0.2598329926
0.1571,0.2597299957
0.1572,0.2596260071
0.1573,0.2595229912
0.1574,0.2594199944
0.1575,0.2593160057
0.1576,0.2592130089
0.1577,0.259109993
0.1578,0.2590069962
0.1579,0.2589030075
0.158,0.2587999916
0.1581,0.2586969948
0.1582,0.2585930061
0.1583,0.2584900093
0.1584,0.2583869934
0.1585,0.2582839966
0.1586,0.2581800079
0.1587,0.258076992
0.1588,0.2579739952
0.1589,0.2578700066
0.159,0.2577669907
0.1591,0.2576639938
0.1592,0.2575600052
0.1593,0.2574570084
0.1594,0.2573530006
0.1595,0.2572500038
0.1596,0.257147007
0.1597,0.2570429993
0.1598,0.2569400024
0.1599,0.2568359947
0.16,0.2567329979
0.1601,0.2566300011
0.1602,0.2565259933
0.1603,0.2564229965
0.1604,0.2563199997
0.1605,0.2562170029
0.1606,0.2561129951
0.1607,0.2560099983
0.1608,0.2559070015
0.1609,0.2558029938
0.161,0.2556999969
